ID,Unnamed: 0,pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
13,3576897,3576898,arp,192.168.100.149,-1,192.168.100.1,-1,13,0.000026,26,0.000115,2,0.000144,4,0.0015949999999999,0.0015949999999999,0.000179,0,Normal,Normal
14,3576898,3576899,udp,192.168.100.149,34295,8.8.8.8,53,1110,0,26,0.007698,2,0.007698,2,0,0,0.007698,0,Normal,Normal
15,3576899,3576900,udp,192.168.100.147,43735,192.168.217.2,53,106,0,1,0,4,0,4,0,0.399839,0,0,Normal,Normal
16,3576900,3576901,arp,192.168.100.148,-1,192.168.100.1,-1,2105,0.00005,12,0.000062,2,0.000129,7,0.001735,0.001735,0.000183,0,Normal,Normal
17,3576901,3576902,udp,192.168.100.148,35430,8.8.8.8,53,2106,0,12,0.007226,2,0.007226,10,0,0,0.007226,0,Normal,Normal
18,3576902,3576903,arp,192.168.100.147,-1,192.168.100.1,-1,3081,0.000019,12,0.000127,2,0.000144,7,0.001734,0.001734,0.00017,0,Normal,Normal
19,3576903,3576904,udp,192.168.100.150,8612,192.168.100.255,8612,3082,0,14,0.01005,4,0.01005,3,0,99.502487,0.01005,0,Normal,Normal
20,3576904,3576905,udp,192.168.100.150,8612,192.168.100.255,8610,3083,0,14,0.010045,4,0.010045,3,0,99.55201,0.010045,0,Normal,Normal
21,3576905,3576906,udp,fe80::250:56ff:febe:254,8612,ff02::1,8612,3084,0,2,0.010024,4,0.010024,2,0,99.760574,0.010024,0,Normal,Normal
22,3576906,3576907,udp,fe80::250:56ff:febe:254,8612,ff02::1,8610,3085,0,2,0.010023,4,0.010023,2,0,99.770531,0.010023,0,Normal,Normal
23,3576907,3576908,udp,192.168.100.147,60865,8.8.8.8,53,3089,0,12,0.007666,2,0.007666,10,0,0,0.007666,0,Normal,Normal
24,3576908,3576909,udp,192.168.100.150,56155,255.255.255.255,3289,4081,0,14,0,4,0,2,0,0,0,0,Normal,Normal
25,3576909,3576910,udp,192.168.100.150,56854,255.255.255.255,1124,4094,0,14,0,4,0,2,0,0,0,0,Normal,Normal
26,3576910,3576911,udp,192.168.100.150,58610,192.168.217.2,53,4123,0,14,0,4,0,8,0,0.399856,0,0,Normal,Normal
27,3576911,3576912,udp,192.168.100.149,35915,192.168.217.2,53,4126,0,9,0,4,0,8,0,0.399983,0,0,Normal,Normal
28,3576912,3576913,udp,192.168.100.148,33862,192.168.217.2,53,4134,0,12,0,4,0,8,0,0.399813,0,0,Normal,Normal
29,3576913,3576914,udp,192.168.100.150,52938,8.8.8.8,53,4139,0,14,0.00725,2,0.00725,10,0,0,0.00725,0,Normal,Normal
30,3576914,3576915,udp,192.168.100.149,59519,8.8.8.8,53,4185,0,9,0.007168,2,0.007168,10,0,0,0.007168,0,Normal,Normal
31,3576915,3576916,udp,192.168.100.147,57830,192.168.217.2,53,4137,0,12,0,4,0,8,0,0.399842,0,0,Normal,Normal
32,3576916,3576917,udp,192.168.100.148,52865,8.8.8.8,53,4241,0,12,0.00743,2,0.00743,10,0,0,0.00743,0,Normal,Normal
33,3576917,3576918,udp,192.168.100.147,52216,8.8.8.8,53,4308,0,12,0.00745,2,0.00745,10,0,0,0.00745,0,Normal,Normal
34,3576918,3576919,udp,192.168.100.46,80,192.168.100.5,80,3,0.231518,6,0.710964,4,4.947334,7,0,17.633553,4.991788,0,Normal,Normal
35,3576919,3576920,tcp,192.168.100.46,80,192.168.100.5,80,4,0.231582,6,0.710952,2,4.947345,7,0,17.889231,4.991786,0,Normal,Normal
36,3576920,3576921,tcp,192.168.100.6,80,192.168.100.3,80,5,0.230037,3,0.655978,2,4.832168,7,0,5.963387,4.999866,0,Normal,Normal
37,3576921,3576922,udp,192.168.100.7,365,192.168.100.3,565,6,0.231947,2,0.655978,4,4.893885,7,0,9.682835,4.999755,0,Normal,Normal
38,3576922,3576923,tcp,192.168.100.5,0,192.168.100.3,0,7,0.235357,7,0.598172,2,4.898582,7,0,10.932437,4.999866,0,Normal,Normal
39,3576923,3576924,tcp,192.168.100.3,59552,13.55.154.73,8883,8,1.272364,20,1.51683,2,3.947982,2,0.897839,0.897839,4.999982,0,Normal,Normal
40,3576924,3576925,tcp,192.168.100.3,80,192.168.100.55,8080,1,0.228494,20,0.768694,2,4.947914,2,17.633553,17.634146,4.999863,0,Normal,Normal
41,3576925,3576926,udp,192.168.100.46,3456,192.168.100.5,80,2,0.231615,6,0.710969,2,4.947584,7,17.633553,17.633553,4.999863,0,Normal,Normal
42,3576926,3576927,udp,192.168.100.3,15726,184.85.248.65,53,6740,0,20,0.215891,2,0.215891,1,0,0,0.215891,0,Normal,Normal
43,3576927,3576928,udp,192.168.100.3,13392,205.251.194.167,53,6741,0,20,0.27849,2,0.27849,1,0,0,0.27849,0,Normal,Normal
44,3576928,3576929,udp,192.168.100.3,52067,192.5.5.241,53,6748,0,20,0.031651,2,0.031651,2,0,0,0.031651,0,Normal,Normal
45,3576929,3576930,udp,192.168.100.3,14949,192.5.5.241,53,6749,0,20,0.031568,2,0.031568,2,0,0,0.031568,0,Normal,Normal
46,3576930,3576931,udp,192.168.100.3,5167,192.35.51.30,53,6750,0,20,0.164368,2,0.164368,1,0,0,0.164368,0,Normal,Normal
47,3576931,3576932,udp,192.168.100.3,5720,205.251.195.97,53,6753,0,20,0.291631,2,0.291631,1,0,0,0.291631,0,Normal,Normal
48,3576932,3576933,udp,192.168.100.3,56746,205.251.196.236,53,6756,0,20,0.009295,2,0.009295,1,0,0,0.009295,0,Normal,Normal
49,3576933,3576934,udp,192.168.100.3,34560,199.7.91.13,53,6761,0,20,0.016084,2,0.016084,1,0,0,0.016084,0,Normal,Normal
50,3576934,3576935,udp,192.168.100.3,49393,192.12.94.30,53,6762,0,20,0.16424,2,0.16424,1,0,0,0.16424,0,Normal,Normal
51,3576935,3576936,tcp,192.168.100.3,56312,52.35.35.13,443,6765,0.331883,20,0.15452,6,0.292655,1,0.210558,0.275345,1.105515,0,Normal,Normal
52,3576936,3576937,udp,192.168.100.6,138,192.168.100.255,138,7836,0,3,0,4,0,3,0,0.001111,0,0,Normal,Normal
53,3576937,3576938,udp,192.168.100.3,18879,216.239.38.10,53,8728,0,20,0.180337,2,0.180337,1,0,0,0.180337,0,Normal,Normal
54,3576938,3576939,udp,192.168.100.3,65040,199.7.83.42,53,8729,0,20,0.015493,2,0.015493,2,0,0,0.015493,0,Normal,Normal
55,3576939,3576940,udp,192.168.100.3,36332,199.7.83.42,53,8730,0,20,0.01513,2,0.01513,2,0,0,0.01513,0,Normal,Normal
56,3576940,3576941,udp,192.168.100.3,3144,192.42.93.30,53,8731,0,20,0.164297,2,0.164297,1,0,0,0.164297,0,Normal,Normal
57,3576941,3576942,tcp,192.168.100.3,58240,172.217.25.170,443,8735,0.13648,20,0.006026,6,0.103549,1,0.105203,0.116892,0.338744,0,Normal,Normal
58,3576942,3576943,udp,fe80::250:56ff:febe:26db,5353,ff02::fb,5353,9298,0,1,0,4,0,4,0,0,0,0,Normal,Normal
59,3576943,3576944,udp,192.168.100.3,5353,224.0.0.251,5353,9299,0,20,0,4,0,24,0,0,0,0,Normal,Normal
60,3576944,3576945,udp,fe80::250:56ff:febe:e9d9,5353,ff02::fb,5353,9639,0,1,0,4,0,4,0,0,0,0,Normal,Normal
61,3576945,3576946,udp,192.168.100.5,5353,224.0.0.251,5353,9640,0,7,0,4,0,24,0,0,0,0,Normal,Normal
62,3576946,3576947,udp,192.168.100.4,5353,224.0.0.251,5353,11519,0,3,0,4,0,24,0,0,0,0,Normal,Normal
63,3576947,3576948,udp,fe80::c0c0:aa20:45b9:bdd9,5353,ff02::fb,5353,11520,0,1,0,4,0,4,0,0,0,0,Normal,Normal
64,3576948,3576949,udp,192.168.100.148,53571,27.124.125.250,123,12151,0,12,0.048705,2,0.048705,2,0,0,0.048705,0,Normal,Normal
65,3576949,3576950,udp,192.168.100.150,37024,27.124.125.250,123,12162,0,14,0.048645,2,0.048645,2,0,0,0.048645,0,Normal,Normal
66,3576950,3576951,ipv6-icmp,fe80::250:56ff:febe:89ee,133,ff02::2,0,12539,0,1,0,8,0,1,0,0,0,0,Normal,Normal
67,3576951,3576952,udp,192.168.100.147,38810,129.250.35.250,123,12832,0,12,0.00697,2,0.00697,1,0,0,0.00697,0,Normal,Normal
68,3576952,3576953,udp,192.168.100.4,45057,91.189.91.157,123,13060,0,3,0.223549,2,0.223549,1,0,0,0.223549,0,Normal,Normal
69,3576953,3576954,arp,192.168.100.1,-1,192.168.100.4,-1,13062,0,3,0.000011,2,0.000011,1,0,0,0.000011,0,Normal,Normal
70,3576954,3576955,arp,192.168.100.4,-1,192.168.100.1,-1,13109,0,3,0.000251,2,0.000251,7,0,0,0.000251,0,Normal,Normal
71,3576955,3576956,udp,192.168.100.150,50232,224.0.0.251,5353,14518,0,14,0,4,0,24,0,0,0,0,Normal,Normal
72,3576956,3576957,udp,192.168.100.149,40285,224.0.0.251,5353,14527,0,9,0,4,0,24,0,0,0,0,Normal,Normal
73,3576957,3576958,udp,192.168.100.148,59441,224.0.0.251,5353,14533,0,12,0,4,0,24,0,0,0,0,Normal,Normal
74,3576958,3576959,udp,192.168.100.150,33816,224.0.0.251,5353,14536,0,14,0,4,0,24,0,0,0,0,Normal,Normal
75,3576959,3576960,udp,192.168.100.149,57131,224.0.0.251,5353,14541,0,9,0,4,0,24,0,0,0,0,Normal,Normal
76,3576960,3576961,udp,192.168.100.150,33956,224.0.0.251,5353,14545,0,14,0,4,0,24,0,0,0,0,Normal,Normal
77,3576961,3576962,udp,192.168.100.147,35795,224.0.0.251,5353,14546,0,12,0,4,0,24,0,0,0,0,Normal,Normal
78,3576962,3576963,udp,192.168.100.149,50421,224.0.0.251,5353,14550,0,9,0,4,0,24,0,0,0,0,Normal,Normal
79,3576963,3576964,udp,192.168.100.148,51781,224.0.0.251,5353,14551,0,12,0,4,0,24,0,0,0,0,Normal,Normal
80,3576964,3576965,udp,192.168.100.148,39502,224.0.0.251,5353,14556,0,12,0,4,0,24,0,0,0,0,Normal,Normal
81,3576965,3576966,udp,192.168.100.147,54674,224.0.0.251,5353,14557,0,12,0,4,0,24,0,0,0,0,Normal,Normal
82,3576966,3576967,udp,192.168.100.147,44248,224.0.0.251,5353,14561,0,12,0,4,0,24,0,0,0,0,Normal,Normal
83,3576967,3576968,udp,192.168.100.150,32985,224.0.0.251,5353,14562,0,14,0,4,0,24,0,0,0,0,Normal,Normal
84,3576968,3576969,udp,192.168.100.149,38008,224.0.0.251,5353,14565,0,9,0,4,0,24,0,0,0,0,Normal,Normal
85,3576969,3576970,udp,192.168.100.148,53917,224.0.0.251,5353,14568,0,12,0,4,0,24,0,0,0,0,Normal,Normal
86,3576970,3576971,udp,192.168.100.150,40086,224.0.0.251,5353,14571,0,14,0,4,0,24,0,0,0,0,Normal,Normal
87,3576971,3576972,udp,192.168.100.149,51193,224.0.0.251,5353,14574,0,9,0,4,0,24,0,0,0,0,Normal,Normal
88,3576972,3576973,udp,192.168.100.147,35790,224.0.0.251,5353,14579,0,12,0,4,0,24,0,0,0,0,Normal,Normal
89,3576973,3576974,udp,192.168.100.150,57854,192.168.217.2,53,14578,0,14,0,4,0,8,0,0.399821,0,0,Normal,Normal
90,3576974,3576975,udp,192.168.100.148,41399,224.0.0.251,5353,14587,0,12,0,4,0,24,0,0,0,0,Normal,Normal
91,3576975,3576976,udp,192.168.100.149,43307,192.168.217.2,53,14585,0,9,0,4,0,8,0,0.399993,0,0,Normal,Normal
92,3576976,3576977,udp,192.168.100.148,42395,192.168.217.2,53,14622,0,12,0,4,0,8,0,0.39981,0,0,Normal,Normal
93,3576977,3576978,udp,192.168.100.147,46227,224.0.0.251,5353,14624,0,12,0,4,0,24,0,0,0,0,Normal,Normal
94,3576978,3576979,udp,192.168.100.150,49402,8.8.8.8,53,14639,0,14,0.007175,2,0.007175,10,0,0,0.007175,0,Normal,Normal
95,3576979,3576980,udp,192.168.100.149,40567,8.8.8.8,53,15672,0,9,0.0073459999999999,2,0.0073459999999999,10,0,0,0.0073459999999999,0,Normal,Normal
96,3576980,3576981,udp,192.168.100.147,40542,192.168.217.2,53,15663,0,12,0,4,0,8,0,0.399999,0,0,Normal,Normal
97,3576981,3576982,udp,192.168.100.148,47113,8.8.8.8,53,16883,0,12,0.006982,2,0.006982,10,0,0,0.006982,0,Normal,Normal
98,3576982,3576983,udp,192.168.100.147,35391,8.8.8.8,53,18127,0,12,0.006987,2,0.006987,10,0,0,0.006987,0,Normal,Normal
99,3576983,3576984,udp,192.168.100.5,56784,192.168.100.1,53,22198,0,7,0.052971,2,0.052971,7,0,0,0.052971,0,Normal,Normal
100,3576984,3576985,arp,192.168.100.1,-1,192.168.100.5,-1,22200,0,3,0.000134,2,0.000134,7,0,0,0.000134,0,Normal,Normal
101,3576985,3576986,udp,192.168.100.5,58787,192.168.100.1,53,22201,0,7,0.00019,2,0.00019,7,0,0,0.00019,0,Normal,Normal
102,3576986,3576987,arp,192.168.100.5,-1,192.168.100.1,-1,22303,0,7,0.000078,2,0.000078,7,0,0,0.000078,0,Normal,Normal
103,3576987,3576988,tcp,192.168.100.5,49859,192.168.100.3,3306,22548,1.349996,7,0.178163,2,1.528159,7,1.078162,0.970346,2.878156,0,Normal,Normal
104,3576988,3576989,udp,192.168.100.27,5353,224.0.0.251,5353,23867,0,2,0,4,0,24,0,0,0,0,Normal,Normal
105,3576989,3576990,udp,fe80::2c6a:ff9b:7e14:166a,5353,ff02::fb,5353,23876,0,1,0,4,0,4,0,0,0,0,Normal,Normal
106,3576990,3576991,tcp,192.168.100.5,0,192.168.100.3,0,3,0.026395,7,4.889463,2,4.945239,7,0,10.964783,4.997683,0,Normal,Normal
107,3576991,3576992,udp,192.168.100.7,365,192.168.100.3,565,4,0.012232,2,4.89378,4,4.909315,7,0,9.96824,4.999954,0,Normal,Normal
108,3576992,3576993,tcp,192.168.100.3,80,192.168.100.55,8080,5,0.006599,20,4.947089,2,4.962064,2,17.942616,17.942616,4.99596,0,Normal,Normal
109,3576993,3576994,udp,192.168.100.46,3456,192.168.100.5,80,6,0.009367,6,4.947263,2,4.962133,7,17.942644,17.942644,4.999143,0,Normal,Normal
110,3576994,3576995,tcp,192.168.100.6,80,192.168.100.3,80,7,0.009396,3,4.839091,2,4.855529,7,0,5.980901,4.932051,0,Normal,Normal
111,3576995,3576996,tcp,192.168.100.3,59552,13.55.154.73,8883,14,1.190139,20,0.148573,2,3.806379,2,0.802701,0.804054,4.999984,0,Normal,Normal
112,3576996,3576997,udp,192.168.100.46,80,192.168.100.5,80,1,0.007576,6,4.946121,4,4.961647,7,0,17.942684,4.998017,0,Normal,Normal
113,3576997,3576998,tcp,192.168.100.46,80,192.168.100.5,80,2,0.007897,6,4.946117,2,4.96171,7,0,17.942684,4.998015,0,Normal,Normal
114,3576998,3576999,udp,192.168.100.27,58999,192.168.100.1,53,581,0,2,0.144049,2,0.144049,7,0,0,0.144049,0,Normal,Normal
115,3576999,3577000,arp,192.168.100.1,-1,192.168.100.27,-1,583,0,3,0.000411,2,0.000411,1,0,0,0.000411,0,Normal,Normal
116,3577000,3577001,udp,192.168.100.27,68,192.168.100.1,67,903,0,4,0.003554,2,0.003554,12,0,0,0.003554,0,Normal,Normal
117,3577001,3577002,arp,192.168.100.27,-1,192.168.100.1,-1,599,0.000018,4,0.000061,2,0.000079,12,0.009914,0.009914,0.000096,0,Normal,Normal
118,3577002,3577003,udp,192.168.100.149,35541,27.124.125.250,123,1217,0,12,0.049033,2,0.049033,4,0,0,0.049033,0,Normal,Normal
119,3577003,3577004,arp,192.168.100.149,-1,192.168.100.1,-1,1234,0,12,0.000107,2,0.000107,12,0,0,0.000107,0,Normal,Normal
120,3577004,3577005,ipv6-icmp,fe80::250:56ff:febe:254,133,ff02::2,0,1294,0,1,0,8,0,3,0,0,0,0,Normal,Normal
121,3577005,3577006,ipv6-icmp,fe80::250:56ff:febe:bf1a,133,ff02::2,0,1710,0,1,0,8,0,3,0,0,0,0,Normal,Normal
122,3577006,3577007,arp,192.168.100.1,-1,192.168.100.3,-1,1980,0,6,0.000103,2,0.000103,5,0,0,0.000103,0,Normal,Normal
123,3577007,3577008,udp,192.168.100.6,138,192.168.100.255,138,1997,0,5,0,4,0,5,0,0.001111,0,0,Normal,Normal
124,3577008,3577009,udp,192.168.100.3,15681,216.239.34.10,53,2287,0,23,0.14349,2,0.14349,1,0,0,0.14349,0,Normal,Normal
125,3577009,3577010,udp,192.168.100.3,19729,199.7.91.13,53,2289,0,23,0.015746,2,0.015746,2,0,0,0.015746,0,Normal,Normal
126,3577010,3577011,udp,192.168.100.3,52337,199.7.91.13,53,2290,0,23,0.015563,2,0.015563,2,0,0,0.015563,0,Normal,Normal
127,3577011,3577012,udp,192.168.100.3,2293,192.52.178.30,53,2291,0,23,0.16751,2,0.16751,1,0,0,0.16751,0,Normal,Normal
128,3577012,3577013,tcp,192.168.100.3,58253,172.217.25.170,443,2292,0.121777,23,0.00594,6,0.092371,2,0.09978,0.123258,0.302119,0,Normal,Normal
129,3577013,3577014,udp,fe80::c0c0:aa20:45b9:bdd9,5353,ff02::fb,5353,3686,0,1,0,4,0,2,0,0,0,0,Normal,Normal
130,3577014,3577015,udp,192.168.100.4,5353,224.0.0.251,5353,3687,0,5,0,4,0,2,0,0,0,0,Normal,Normal
131,3577015,3577016,ipv6-icmp,fe80::250:56ff:febe:c038,133,ff02::2,0,3793,0,1,0,8,0,3,0,0,0,0,Normal,Normal
132,3577016,3577017,tcp,192.168.100.7,139,192.168.100.4,36390,469,0.000013,5,0.000021,2,0.000032,3,0.002751,0.002751,0.000053,0,Normal,Normal
133,3577017,3577018,arp,192.168.100.4,-1,192.168.100.7,-1,485,0.000041,5,0.00016,2,0.000212,2,0.002751,0.002751,0.000262,0,Normal,Normal
134,3577018,3577019,udp,192.168.100.148,57942,27.124.125.250,123,4279,0,10,0.048622,2,0.048622,4,0,0,0.048622,0,Normal,Normal
135,3577019,3577020,arp,192.168.100.1,-1,192.168.100.148,-1,4280,0,6,0.000058,2,0.000058,1,0,0,0.000058,0,Normal,Normal
136,3577020,3577021,udp,192.168.100.150,45932,27.124.125.250,123,4286,0,14,0.048539,2,0.048539,4,0,0,0.048539,0,Normal,Normal
137,3577021,3577022,arp,192.168.100.1,-1,192.168.100.150,-1,4287,0,6,0.000065,2,0.000065,1,0,0,0.000065,0,Normal,Normal
138,3577022,3577023,arp,192.168.100.148,-1,192.168.100.1,-1,4300,0,10,0.000158,2,0.000158,12,0,0,0.000158,0,Normal,Normal
139,3577023,3577024,arp,192.168.100.150,-1,192.168.100.1,-1,4304,0,14,0.00015,2,0.00015,12,0,0,0.00015,0,Normal,Normal
140,3577024,3577025,udp,192.168.100.7,138,192.168.100.255,138,1991,0.000014,5,0.000068,4,0.000082,5,0,0.0041189999999999,0.000095,0,Normal,Normal
141,3577025,3577026,udp,192.168.100.147,58264,129.250.35.250,123,4520,0,6,0.007474,2,0.007474,1,0,0,0.007474,0,Normal,Normal
142,3577026,3577027,arp,192.168.100.1,-1,192.168.100.147,-1,4521,0,6,0.000055,2,0.000055,1,0,0,0.000055,0,Normal,Normal
143,3577027,3577028,arp,192.168.100.147,-1,192.168.100.1,-1,4538,0,6,0.000118,2,0.000118,12,0,0,0.000118,0,Normal,Normal
144,3577028,3577029,udp,192.168.100.4,43089,91.189.91.157,123,4601,0,5,0.221635,2,0.221635,1,0,0,0.221635,0,Normal,Normal
145,3577029,3577030,arp,192.168.100.1,-1,192.168.100.4,-1,4602,0,6,0.000012,2,0.000012,3,0,0,0.000012,0,Normal,Normal
146,3577030,3577031,arp,192.168.100.4,-1,192.168.100.1,-1,4619,0,5,0.000232,2,0.000232,12,0,0,0.000232,0,Normal,Normal
147,3577031,3577032,tcp,192.168.100.3,59552,13.55.154.73,8883,18,1.251197,23,0.006134,2,4.312233,1,0.90097,0.900972,4.999997,0,Normal,Normal
148,3577032,3577033,tcp,192.168.100.55,8080,192.168.100.3,80,2,0.089902,1,3.560582,2,4.95646,5,18.047676,18.047161,4.999832,0,Normal,Normal
149,3577033,3577034,udp,192.168.100.46,80,192.168.100.5,80,1,0.091445,3,3.56061,4,4.956414,3,0,18.047676,4.99944,0,Normal,Normal
150,3577034,3577035,tcp,192.168.100.46,80,192.168.100.5,80,3,0.093453,3,3.510904,2,4.95627,3,0,18.047623,4.999456,0,Normal,Normal
151,3577035,3577036,tcp,192.168.100.5,0,192.168.100.3,0,4,0.098533,1,3.455623,2,4.920921,5,0,11.01012,4.997121,0,Normal,Normal
152,3577036,3577037,udp,192.168.100.7,365,192.168.100.3,565,5,0.096352,5,3.504733,4,4.906859,5,0,10.016953,4.978014,0,Normal,Normal
153,3577037,3577038,udp,192.168.100.46,3456,192.168.100.5,80,6,0.093033,3,3.560613,2,4.956452,3,18.047657,18.047657,4.999815,0,Normal,Normal
154,3577038,3577039,tcp,192.168.100.6,80,192.168.100.3,80,7,0.09645,5,3.505328,2,4.85817,5,0,6.045066,4.978014,0,Normal,Normal
155,3577039,3577040,udp,192.168.100.7,138,192.168.100.255,138,3293,0.000031,5,0.000148,4,0.000191,5,0,0.003432,0.000222,0,Normal,Normal
156,3577040,3577041,udp,192.168.100.6,49680,224.0.0.252,5355,3922,0,5,0.1061,4,0.1061,1,0,9.425071,0.1061,0,Normal,Normal
157,3577041,3577042,udp,192.168.100.6,137,192.168.100.255,137,3923,0,5,1.528407,4,1.528407,5,0,1.308552,1.528407,0,Normal,Normal
158,3577042,3577043,udp,192.168.100.3,44627,96.7.49.66,53,4020,0,23,0.30755,2,0.30755,1,0,0,0.30755,0,Normal,Normal
159,3577043,3577044,udp,192.168.100.3,47585,205.251.193.2,53,4021,0,23,0.295126,2,0.295126,1,0,0,0.295126,0,Normal,Normal
160,3577044,3577045,udp,192.168.100.3,39455,192.33.4.12,53,4024,0,23,0.175987,2,0.175987,2,0,0,0.175987,0,Normal,Normal
161,3577045,3577046,udp,192.168.100.3,28950,192.33.4.12,53,4025,0,23,0.17588,2,0.17588,2,0,0,0.17588,0,Normal,Normal
162,3577046,3577047,udp,192.168.100.3,40757,192.41.162.30,53,4027,0,23,0.167138,2,0.167138,1,0,0,0.167138,0,Normal,Normal
163,3577047,3577048,udp,192.168.100.3,20603,205.251.195.97,53,4028,0,23,0.283312,2,0.283312,1,0,0,0.283312,0,Normal,Normal
164,3577048,3577049,udp,192.168.100.3,2929,205.251.196.236,53,4030,0,23,0.009264,2,0.009264,1,0,0,0.009264,0,Normal,Normal
165,3577049,3577050,udp,192.168.100.3,42911,192.36.148.17,53,4032,0,23,0.057797,2,0.057797,2,0,0,0.057797,0,Normal,Normal
166,3577050,3577051,udp,192.168.100.3,48989,192.36.148.17,53,4033,0,23,0.057087,2,0.057087,2,0,0,0.057087,0,Normal,Normal
167,3577051,3577052,udp,192.168.100.3,65034,192.35.51.30,53,4035,0,23,0.164684,2,0.164684,1,0,0,0.164684,0,Normal,Normal
168,3577052,3577053,tcp,192.168.100.7,139,192.168.100.4,36390,4076,0.000035,5,0.000016,2,0.000046,3,0.002751,0.002751,0.00011,0,Normal,Normal
169,3577053,3577054,arp,192.168.100.4,-1,192.168.100.7,-1,4093,0.000032,5,0.000219,2,0.000264,2,0.002751,0.002751,0.000304,0,Normal,Normal
170,3577054,3577055,tcp,192.168.100.3,35828,35.165.2.252,443,4036,0.350856,23,0.155417,6,0.301399,1,0.211536,0.276624,1.160759,0,Normal,Normal
171,3577055,3577056,udp,192.168.100.150,59360,192.168.217.2,53,4326,0,14,0,4,0,9,0,0.399998,0,0,Normal,Normal
172,3577056,3577057,arp,192.168.100.150,-1,192.168.100.1,-1,4338,0.000039,14,0.000027,2,0.00009,12,0.004076,0.004076,0.000148,0,Normal,Normal
173,3577057,3577058,udp,192.168.100.150,53344,8.8.8.8,53,4341,0,14,0.0075159999999999,2,0.0075159999999999,14,0,0,0.0075159999999999,0,Normal,Normal
174,3577058,3577059,udp,192.168.100.150,58220,192.168.217.2,53,5390,0,14,0,4,0,9,0,0.399987,0,0,Normal,Normal
175,3577059,3577060,udp,192.168.100.6,138,192.168.100.255,138,5398,0,5,0,4,0,5,0,0.001111,0,0,Normal,Normal
176,3577060,3577061,udp,192.168.100.149,41708,27.124.125.250,123,5411,0,12,0.04841,2,0.04841,4,0,0,0.04841,0,Normal,Normal
177,3577061,3577062,arp,192.168.100.1,-1,192.168.100.149,-1,5412,0,6,0.000111,2,0.000111,1,0,0,0.000111,0,Normal,Normal
178,3577062,3577063,arp,192.168.100.149,-1,192.168.100.1,-1,5420,0.000024,12,0.000032,2,0.000073,12,0.003524,0.003524,0.000091,0,Normal,Normal
179,3577063,3577064,udp,192.168.100.149,57424,8.8.8.8,53,5421,0.060596,12,0.158806,2,0.219402,14,8.067965,362.97641,0.279998,0,Normal,Normal
180,3577064,3577065,tcp,192.168.100.149,56388,52.11.124.117,443,5423,0,12,0.82394,6,0.82394,4,16.991529,16.991529,0.82394,0,Normal,Normal
181,3577065,3577066,udp,192.168.100.148,59210,8.8.8.8,53,5424,0.148552,10,0.150115,2,0.298667,14,3.365791,333333.3125,0.447219,0,Normal,Normal
182,3577066,3577067,tcp,192.168.100.148,53060,52.11.124.117,443,5426,0,10,1.525284,6,1.525284,4,9.834234,10.489849,1.525284,0,Normal,Normal
